,RVN,Match Code
152,2003-0001-10,"['0000010', '0000204', '0000246', '0000293', '0000682']"
153,2003-0001-11,['0000653']
154,2003-0001-12,"['0000130', '0000224', '0000280', '0000363', '0000379', '0000394']"
155,2003-0001-13,"['0000239', '0000241', '0000395', '0000877']"
156,2003-0001-14,"['0000113', '0000240', '0000286', '0000371', '0000427']"
157,2003-0001-15,"['0000248', '0000256', '0000265', '0000287', '0000369', '0000395', '0000530', '0000682']"
158,2003-0001-16,"['0000100', '0000237', '0000293', '0000370', '0000395', '0000654', '0000682']"
159,2003-0001-17,"['0000237', '0000293', '0000370', '0000395', '0000654', '0000682']"
160,2003-0001-18,"['0000005', '0000237', '0000256', '0000293', '0000370', '0000682']"
161,2003-0001-19,"['0000233', '0000259', '0000298']"
162,2003-0001-20,"['0000212', '0000227', '0000284', '0000367']"
163,2003-0001-21,"['0000191', '0000222', '0000258', '0000284', '0000362']"
164,1987-0001-19,"['0000176', '0000272', '0000377.1.0', '0000399.0.1', '0000419']"
165,2003-0001-24,"['0000204', '0000246', '0000293', '0000484', '0000682', '0000888']"
166,2003-0001-26,"['0000194', '0000237', '0000253', '0000293', '0000370', '0000872']"
167,2003-0001-27,"['0000204', '0000237', '0000256', '0000293', '0000370', '0000608', '0000682']"
168,2003-0001-28,"['0000206', '0000247', '0000255', '0000297', '0000374', '0000682']"
169,2003-0001-29,"['0000169', '0000212', '0000303']"
170,2003-0001-30,"['0000212', '0000228', '0000284', '0000365']"
171,2003-0001-32,"['0000204', '0000238', '0000256', '0000293', '0000370', '0000682']"
172,1981-0002-02,"['0000132', '0000923']"
173,2003-0001-34,"['0000231', '0000295', '0000372', '0000682']"
174,2003-0001-35,"['0000237', '0000293', '0000370']"
175,2003-0001-36,"['0000266', '0000375']"
176,2003-0001-37,"['0000293', '0000300', '0000370', '0000395', '0000659', '0000682']"
177,2003-0001-38,"['0000214', '0000285', '0000366', '0000886']"
178,2003-0001-39,"['0000065', '0000110', '0000229', '0000284', '0000338', '0000361', '0000721']"
179,2003-0001-40,"['0000103', '0000784', '0000793']"
180,2003-0001-41,"['0000094', '0000189', '0000197', '0000243', '0000256', '0000289', '0000314', '0000583', '0000652', '0000683']"
181,2003-0001-42,"['0000211', '0000215', '0000284', '0000364']"
182,2003-0002-01,"['0000010', '0000204', '0000244', '0000293', '0000682']"
183,2003-0002-02,"['0000204', '0000244', '0000256', '0000293', '0000682']"
184,2003-0002-03,"['0000199', '0000225', '0000293', '0000682']"
185,2003-0002-05,"['0000198', '0000293', '0000682', '0000878']"
186,2003-0002-06,"['0000204', '0000246', '0000252', '0000293', '0000682']"
187,2003-0002-07,"['0000010', '0000201', '0000245', '0000290', '0000876']"
188,2003-0002-08,"['0000009', '0000293', '0000412', '0000413', '0000682']"
189,2003-0002-09,"['0000196', '0000230', '0000299']"
190,2003-0002-10,"['0000225', '0000293']"
191,2003-0001-23,"['0000204', '0000234', '0000253', '0000293', '0000370', '0000924', '0000925']"
192,2003-0002-12,"['0000293', '0000311', '0000331']"
193,2003-0002-13,"['0000293', '0000312', '0000331']"
194,1987-0001-30,"['0000175', '0000272', '0000377.1.0', '0000392.0.1', '0000419']"
195,2003-0002-15,"['0000199', '0000293', '0000407', '0000475', '0000682']"
196,2003-0002-16,"['0000011', '0000225', '0000298']"
